"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
1,0.10018150191977,0.0866978762030624,0.0112625755887778,0.333787417339091,1.00087237864717,4500,2003,"anti-logit Year eff","Asia"
2,0.092889739620687,0.0666672690220848,0.0156414251556362,0.270866056713207,1.00093938802131,4500,2004,"anti-logit Year eff","Asia"
3,0.264470800146089,0.124291227459963,0.0734995914852814,0.546559541943269,1.00103941049792,4500,2005,"anti-logit Year eff","Asia"
4,0.205629014915872,0.0932421816235261,0.0695579746365058,0.421223599598769,1.00167236459083,2000,2006,"anti-logit Year eff","Asia"
5,0.152945308588085,0.0788702977370892,0.0438194855274407,0.345768214689665,1.00385095199278,630,2007,"anti-logit Year eff","Asia"
6,0.212739934039133,0.0915603510115991,0.0742030693281474,0.425197375679252,1.0033419574085,750,2008,"anti-logit Year eff","Asia"
7,0.229477925791752,0.0936751708659511,0.0850642814254951,0.447599611134824,1.00136318215987,2900,2009,"anti-logit Year eff","Asia"
8,0.318807307469304,0.108975280099363,0.133364539125029,0.557049196361817,1.00136255147668,2900,2010,"anti-logit Year eff","Asia"
9,0.145372188057801,0.0691265481888531,0.0466635712868081,0.310727281607176,1.00452734782912,650,2011,"anti-logit Year eff","Asia"
10,0.182496943962081,0.079283884200236,0.062822182708231,0.377400828192006,1.00290580290413,900,2012,"anti-logit Year eff","Asia"
11,0.186306794662448,0.0789015449124957,0.0684928272309936,0.366925644089654,1.00299279005452,860,2013,"anti-logit Year eff","Asia"
12,0.256370961905346,0.102689701565638,0.0947288748854177,0.486519309376079,1.00121890021882,3600,2014,"anti-logit Year eff","Asia"
13,0.390684639491914,0.119857005662042,0.178097365353187,0.635484196345558,1.00068473754933,4500,2015,"anti-logit Year eff","Asia"
14,0.235692228106307,0.0897839834310873,0.0942757433517551,0.436214031586653,1.00113384525702,4300,2016,"anti-logit Year eff","Asia"
15,0.329275637701842,0.10900565448099,0.14080747630815,0.56516543370747,1.00232436001095,1200,2017,"anti-logit Year eff","Asia"
16,0.305452723610833,0.102379642247483,0.136921967591128,0.531686576585563,1.00103201768815,4500,2018,"anti-logit Year eff","Asia"
17,0.242316642761489,0.089712304547218,0.0979664501462394,0.445232427447486,1.00164041326903,2100,2019,"anti-logit Year eff","Asia"
18,0.277179953710094,0.100284511402982,0.111866617998768,0.503326489943005,1.00074332393112,4500,2020,"anti-logit Year eff","Asia"
19,0.302161380998865,0.102905236584842,0.128964533095532,0.52163190192996,1.00191680828322,1600,2021,"anti-logit Year eff","Asia"
20,0.114449400442827,0.0556562823957826,0.0364617008178604,0.246930716656174,1.0007010220226,4500,2022,"anti-logit Year eff","Asia"
21,0.159896822209775,0.0724417958278558,0.0536956014193384,0.336342386111596,1.00122595994128,3600,2023,"anti-logit Year eff","Asia"
22,0.162620895830072,0.0726411892270395,0.0564445817656294,0.335622363618411,1.00578302322137,390,2024,"anti-logit Year eff","Asia"
1,0.181492845124843,0.0818471632094606,0.0540521164018572,0.371598780784524,1.00101090867591,4500,2003,"MM.p.uw","Asia"
2,0.175359928607793,0.0670982087666156,0.0647017305460993,0.325384668033427,1.00127983677759,3300,2004,"MM.p.uw","Asia"
3,0.333849986232377,0.0772542514553941,0.189181248944227,0.49209229861205,1.00104489566449,4500,2005,"MM.p.uw","Asia"
4,0.289044527459948,0.0589087238720618,0.180248265069259,0.408480619338764,1.00122018704172,3600,2006,"MM.p.uw","Asia"
5,0.255017300569265,0.056752201149732,0.150897400265343,0.371347765150381,1.0041430823469,580,2007,"MM.p.uw","Asia"
6,0.297329936485415,0.0557536614221846,0.190418212084544,0.408322679292862,1.00343859871799,720,2008,"MM.p.uw","Asia"
7,0.317292050805277,0.0507347486980926,0.224401546080572,0.421134533973094,1.00161788329102,2100,2009,"MM.p.uw","Asia"
8,0.374620497556143,0.0548374364415485,0.269141342477335,0.483990584776091,1.00116330084678,4000,2010,"MM.p.uw","Asia"
9,0.234991579108667,0.0476820039916061,0.147570768778617,0.331283245334543,1.00167262098242,2000,2011,"MM.p.uw","Asia"
10,0.271493649933663,0.0495929768030142,0.180193943089346,0.376222272485513,1.00121459826797,3600,2012,"MM.p.uw","Asia"
11,0.276996459446252,0.0477549132737097,0.188654265886342,0.375827611420094,1.00163417812905,2100,2013,"MM.p.uw","Asia"
12,0.326349198756014,0.0595872427488474,0.212262422639045,0.444142352690752,1.00156368191868,2200,2014,"MM.p.uw","Asia"
13,0.421769085157713,0.0589060737838659,0.307699197038063,0.535939919876343,1.00091556271703,4500,2015,"MM.p.uw","Asia"
14,0.301522250835642,0.0459401266970456,0.216157507453137,0.394892862817257,1.00070116893473,4500,2016,"MM.p.uw","Asia"
15,0.385969056346232,0.0512218037943792,0.286489520485416,0.489111281004907,1.001960252888,1500,2017,"MM.p.uw","Asia"
16,0.365896841036057,0.0447833647785711,0.280617122924895,0.455543501552452,1.00403693045679,600,2018,"MM.p.uw","Asia"
17,0.316011555196888,0.0475297422223907,0.223300768923938,0.410233848628488,1.0026847559857,990,2019,"MM.p.uw","Asia"
18,0.342645119276632,0.048639958287724,0.248955544693336,0.440769900405332,1.00071145279594,4500,2020,"MM.p.uw","Asia"
19,0.371448691867186,0.0498105531619347,0.274594985031443,0.469243339254647,1.0014070543455,2700,2021,"MM.p.uw","Asia"
20,0.206794997352799,0.0445896507062796,0.127226621716996,0.299688405542434,1.00137988824365,2800,2022,"MM.p.uw","Asia"
21,0.263385466531901,0.0479973295145174,0.172359926297254,0.361174332844149,1.00073281246405,4500,2023,"MM.p.uw","Asia"
22,0.247443271183172,0.0469352841451783,0.16144759372762,0.345280981653665,1.00429844382525,550,2024,"MM.p.uw","Asia"
1,0.181492845124843,0.0818471632094606,0.0540521164018572,0.371598780784524,1.00101090867591,4500,2003,"MM.p.w","Asia"
2,0.175359928607793,0.0670982087666156,0.0647017305460993,0.325384668033427,1.00127983677759,3300,2004,"MM.p.w","Asia"
3,0.333849986232377,0.0772542514553941,0.189181248944227,0.49209229861205,1.00104489566449,4500,2005,"MM.p.w","Asia"
4,0.289044527459948,0.0589087238720618,0.180248265069259,0.408480619338764,1.00122018704172,3600,2006,"MM.p.w","Asia"
5,0.255017300569265,0.056752201149732,0.150897400265343,0.371347765150381,1.0041430823469,580,2007,"MM.p.w","Asia"
6,0.297329936485415,0.0557536614221846,0.190418212084544,0.408322679292862,1.00343859871799,720,2008,"MM.p.w","Asia"
7,0.317292050805277,0.0507347486980926,0.224401546080572,0.421134533973094,1.00161788329102,2100,2009,"MM.p.w","Asia"
8,0.374620497556143,0.0548374364415485,0.269141342477335,0.483990584776091,1.00116330084678,4000,2010,"MM.p.w","Asia"
9,0.234991579108667,0.0476820039916061,0.147570768778617,0.331283245334543,1.00167262098242,2000,2011,"MM.p.w","Asia"
10,0.271493649933663,0.0495929768030142,0.180193943089346,0.376222272485513,1.00121459826797,3600,2012,"MM.p.w","Asia"
11,0.276996459446252,0.0477549132737097,0.188654265886342,0.375827611420094,1.00163417812905,2100,2013,"MM.p.w","Asia"
12,0.326349198756014,0.0595872427488474,0.212262422639045,0.444142352690752,1.00156368191868,2200,2014,"MM.p.w","Asia"
13,0.421769085157713,0.0589060737838659,0.307699197038063,0.535939919876343,1.00091556271703,4500,2015,"MM.p.w","Asia"
14,0.301522250835642,0.0459401266970456,0.216157507453137,0.394892862817257,1.00070116893473,4500,2016,"MM.p.w","Asia"
15,0.385969056346232,0.0512218037943792,0.286489520485416,0.489111281004907,1.001960252888,1500,2017,"MM.p.w","Asia"
16,0.365896841036057,0.0447833647785711,0.280617122924895,0.455543501552452,1.00403693045679,600,2018,"MM.p.w","Asia"
17,0.316011555196888,0.0475297422223907,0.223300768923938,0.410233848628488,1.0026847559857,990,2019,"MM.p.w","Asia"
18,0.342645119276632,0.048639958287724,0.248955544693336,0.440769900405332,1.00071145279594,4500,2020,"MM.p.w","Asia"
19,0.371448691867186,0.0498105531619347,0.274594985031443,0.469243339254647,1.0014070543455,2700,2021,"MM.p.w","Asia"
20,0.206794997352799,0.0445896507062796,0.127226621716996,0.299688405542434,1.00137988824365,2800,2022,"MM.p.w","Asia"
21,0.263385466531901,0.0479973295145174,0.172359926297254,0.361174332844149,1.00073281246405,4500,2023,"MM.p.w","Asia"
22,0.247443271183172,0.0469352841451783,0.16144759372762,0.345280981653665,1.00429844382525,550,2024,"MM.p.w","Asia"
1,0.2,NA,NA,NA,NA,NA,2003,"Observed","Asia"
2,0.102040816326531,NA,NA,NA,NA,NA,2004,"Observed","Asia"
3,0.173333333333333,NA,NA,NA,NA,NA,2005,"Observed","Asia"
4,0.130434782608696,NA,NA,NA,NA,NA,2006,"Observed","Asia"
5,0.125984251968504,NA,NA,NA,NA,NA,2007,"Observed","Asia"
6,0.179166666666667,NA,NA,NA,NA,NA,2008,"Observed","Asia"
7,0.183520599250936,NA,NA,NA,NA,NA,2009,"Observed","Asia"
8,0.209677419354839,NA,NA,NA,NA,NA,2010,"Observed","Asia"
9,0.137795275590551,NA,NA,NA,NA,NA,2011,"Observed","Asia"
10,0.108938547486034,NA,NA,NA,NA,NA,2012,"Observed","Asia"
11,0.0943396226415094,NA,NA,NA,NA,NA,2013,"Observed","Asia"
12,0.123711340206186,NA,NA,NA,NA,NA,2014,"Observed","Asia"
13,0.20353982300885,NA,NA,NA,NA,NA,2015,"Observed","Asia"
14,0.208888888888889,NA,NA,NA,NA,NA,2016,"Observed","Asia"
15,0.169550173010381,NA,NA,NA,NA,NA,2017,"Observed","Asia"
16,0.153310104529617,NA,NA,NA,NA,NA,2018,"Observed","Asia"
17,0.125391849529781,NA,NA,NA,NA,NA,2019,"Observed","Asia"
18,0.190812720848057,NA,NA,NA,NA,NA,2020,"Observed","Asia"
19,0.195979899497487,NA,NA,NA,NA,NA,2021,"Observed","Asia"
20,0.0947368421052632,NA,NA,NA,NA,NA,2022,"Observed","Asia"
21,0.0958333333333333,NA,NA,NA,NA,NA,2023,"Observed","Asia"
22,0.092,NA,NA,NA,NA,NA,2024,"Observed","Asia"
